# British to US spellings from the English Speller Database: en-wl/wordlist data/scowl-pre.txt at 1e5b7d3.
#
# Copyright 2000-2026 by Kevin Atkinson
#
# Permission to use, copy, modify, distribute, and sell any part of the English
# Speller Database (ESDB, previously known as SCOWLv2), or word lists
# created from it, is hereby granted without fee, provided that the above
# copyright notice appears in all copies and that both the above copyright
# notice and this notice appear in supporting documentation.  Kevin Atkinson
# makes no representations about the suitability of this database for any
# purpose.  It is provided "as is" without express or implied warranty.
-bicolour	-bicolor
-chequerboard	-checkerboard
-clangour	-clangor
-cosy	-cozy
-enthral	-enthrall
-eudaemonic	-eudemonic
-faggot	-fagot
-fibreglass	-fiberglass
-gormandise	-gormandize
-groyne	-groin
-gruelling	-grueling
-haematic	-hematic
-haemorrhoidal	-hemorrhoidal
-haet	-het
-jour	-jor
-lacklustre	-lackluster
-lateralise	-lateralize
-louvre	-louver
-lustre	-luster
-meagre	-meager
-multicolour	-multicolor
-mum	-mom
-ochre	-ocher
-oversized	-oversize
-philtre	-philter
-priser	-prizer
-pyrenaean	-pyrenean
-sabre	-saber
-sceptre	-scepter
-sheikh	-sheik
-storey	-story
-sulphate	-sulfate
-tantalising	-tantalizing
-unsympathising	-unsympathizing
-vapour	-vapor
abetter	abettor
abetters	abettors
abridgement	abridgment
abridgements	abridgments
absinth	absinthe
absinths	absinthes
acalephae	acalephe
accessorise	accessorize
accessorised	accessorized
accessorises	accessorizes
accessorising	accessorizing
acclimatisable	acclimatizable
acclimatisation	acclimatization
acclimatisations	acclimatizations
acclimatise	acclimatize
acclimatised	acclimatized
acclimatiser	acclimatizer
acclimatisers	acclimatizers
acclimatises	acclimatizes
acclimatising	acclimatizing
accourage	accorage
accoutre	accouter
accoutred	accoutered
accoutrement	accouterment
accoutrements	accouterments
accoutres	accouters
achaenium	achenium
achaeniums	acheniums
achaenocarp	achenocarp
achromatisation	achromatization
achromatise	achromatize
achromatised	achromatized
achromatises	achromatizes
achromatising	achromatizing
acidaemia	acidemia
acknowledgement	acknowledgment
acknowledgements	acknowledgments
actualisation	actualization
actualisations	actualizations
actualise	actualize
actualised	actualized
actualises	actualizes
actualising	actualizing
adaptor	adapter
adaptors	adapters
adonise	adonize
adonised	adonized
adonises	adonizes
adonising	adonizing
adulterise	adulterize
adulterised	adulterized
adulterises	adulterizes
adulterising	adulterizing
advenae	advene
adverbialise	adverbialize
adverbialised	adverbialized
adverbialises	adverbializes
adverbialising	adverbializing
aeglogue	eglogue
aemule	emule
aeolipile	eolipile
aeolipiles	eolipiles
aeolotropic	eolotropic
aeon	eon
aeonian	eonian
aeonism	eonism
aeonisms	eonisms
aeons	eons
aerofoil	airfoil
aerofoils	airfoils
aerogel	airgel
aerogenic	erogenic
aeroplane	airplane
aeroplanes	airplanes
aeros	eros
aerose	erose
aeruginous	eruginous
aerugo	erugo
aerugos	erugos
aesc	esc
aesculin	esculin
aestheses	estheses
aesthesia	esthesia
aesthesias	esthesias
aesthesiogen	esthesiogen
aesthesiogenic	esthesiogenic
aesthesiogens	esthesiogens
aesthesis	esthesis
aesthetical	esthetical
aesthetician	esthetician
aestheticians	estheticians
aestheticise	aestheticize
